"LeafID","LeafLength_cm","LeafWidth_cm","day"
"65","8.51","3.81","14"
"66","8.81","4.45","14"
"67","","","14"
"68","9.75","4.95","14"
"69","7.71","3.45","14"
"70","9.62","4.91","14"
"01","7.94","3.27","16"
"02","","4.91","16"
"03","11.53","4.25","16"
"04","6.39","5.62","16"
"05","12.61","7.49","16"
"06","","","16"
"07","11.25","5.75","16"
"08","11.11","5.78","16"
"09","7.85","3.55","16"
"10","8.12","3.81","16"
"11","8.46","3.91","16"
"12","9.71","4.63","16"
"13","9.01","4.92","16"
"14","6.65","3.12","16"
"15","8.28","4.99","16"
"16","8.81","4.52","16"
"17","10.72","5.51","16"
"18","9.19","5.29","16"
"19","11.69","6.05","16"
"20","10.39","5.15","16"
"21","7.36","4.05","16"
"22","8.68","4.69","16"
"23","9.99","5.51","16"
"24","10.33","5.12","16"
"25","8.11","4.45","16"
"26","","","16"
"27","11.05","5.72","16"
"28","8.93","4.58","16"
"29","11.09","5.21","16"
"30","9.96","4.65","16"
"31","10.49","6.12","16"
"32","11.21","5.61","16"
"33","11.39","5.71","16"
"34","11.39","5.91","16"
"35","10.63","6.02","16"
"36","8.15","4.68","16"
"37","8.56","4.28","16"
"38","13.68","6.82","16"
"39","","","16"
"40","11.49","6.72","16"
"41","10.09","5.24","16"
"42","10.43","5.35","16"
"43","9.81","5.03","16"
"44","9.74","4.69","16"
"45","10.69","5.34","16"
"46","9.01","4.51","16"
"47","12.31","7.15","16"
"48","6.72","3.75","16"
"49","10.62","5.05","16"
"50","10.19","5.08","16"
"51","","","16"
"52","7.23","4.38","16"
"53","10.79","5.28","16"
"54","9.82","4.63","16"
"55","9.81","4.81","16"
"56","9.82","5.21","16"
"57","9.66","4.84","16"
"58","9.01","4.51","16"
"59","10.56","5.06","16"
"60","9.29","4.35","16"
"61","9.67","4.26","16"
"62","","","16"
"63","","","16"
"64","8.35","4.51","16"
"65","9.65","4.51","16"
"66","9.45","4.75","16"
"67","","","16"
"68","10.79","5.56","16"
"69","9.15","4.21","16"
"70","10.98","5.16","16"
"01","8.79","3.83","18"
"02","","","18"
"03","12.19","5.06","18"
"04","7.25","6.62","18"
"05","13.27","7.97","18"
"06","","","18"
"07","11.96","6.29","18"
"08","12.08","6.54","18"
"09","8.98","4.35","18"
"10","9.08","4.32","18"
"11","9.77","4.57","18"
"12","10.67","5.06","18"
"13","10.81","5.52","18"
"14","8.23","4.02","18"
"15","8.28","5.14","18"
"16","9.27","4.88","18"
"17","11.51","6.02","18"
"18","9.69","5.55","18"
"19","13.01","6.82","18"
"20","10.95","5.78","18"
"21","7.67","4.24","18"
"22","9.27","5.02","18"
"23","10.32","5.83","18"
"24","11.18","5.69","18"
"25","8.22","4.51","18"
"26","","","18"
"27","11.75","6.14","18"
"28","9.59","4.84","18"
"29","11.72","5.75","18"
"30","11.7","5.46","18"
"31","10.98","6.32","18"
"32","12.28","6.12","18"
"33","12.39","6.36","18"
"34","12.12","6.56","18"
"35","11.39","6.55","18"
"36","8.28","4.83","18"
"37","8.85","4.52","18"
"38","14.29","7.36","18"
"39","","","18"
"40","11.99","6.92","18"
"41","11.23","6.18","18"
"42","11.71","6.02","18"
"43","10.51","5.63","18"
"44","10.58","5.28","18"
"45","11.62","5.85","18"
"46","9.52","4.68","18"
"47","12.98","7.57","18"
